SERVICE,MILSTAT,NOMARR2,LVLDIFMEM2,LVLDIFCARE2,IRSEX,IREDUHIGHST2,SEXAGE,HEALTH2,EDUSCKMON,EDUSKPMON,WRKDRGPOL,WRKDRGEDU,WRKTSTALC,WRKTSTRDM,WRKOKPREH,WRKOKRAND,WRKSTATWK2,IMOTHER,IFATHER,IRHH65_2,IRFAMSOC,IRFAMSSI,IRFSTAMP,IRFAMPMT,IRFAMSVC,IRPINC3,GOVTPROG,BOOKED,BKSRVIOL,BKSMASLT,BKPOSTOB,BKDRVINF,BKDRUG,PNRNMLAS1,OPINMMON,FUPNRNM18,OPINMYR
2,99,1,1,1,1,11,5,4.0,99,99,2,2,2,99,1,1,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,9,5,2.0,99,99,2,1,2,99,3,3,2,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,11,5,2.0,99,99,1,2,1,2,2,3,1,4,4,1,2,2,2,2,2,7,2,1,99,99,99,99,99,1,1.0,2.0,1.0
2,99,99,1,1,1,9,3,3.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,1.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,98,98,2,9,4,3.0,99,99,1,2,2,2,3,2,1,4,4,1,2,2,2,2,2,3,2,98,98,98,99,98,98,98,0.0,2.0,0.0
1,3,2,3,1,2,11,5,4.0,99,99,99,99,99,99,99,99,5,4,4,3,1,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,3,3.0,99,99,1,1,1,1,2,1,4,4,4,1,2,1,1,1,2,1,1,1,2,2,99,1,1,26,1.0,2.0,1.0
1,3,1,1,1,2,11,5,1.0,99,99,1,2,94,2,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,98,98,2,9,4,3.0,90,99,1,1,2,99,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,2,2,5,2,3.0,99,99,99,99,99,99,99,99,9,1,1,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,2,2,11,4,2.0,99,99,1,2,94,2,3,3,3,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,1,2,9,4,1.0,0,0,1,94,2,99,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,1.0,99,99,1,1,2,2,3,2,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,7,5,4.0,99,99,99,99,99,99,99,99,5,4,4,1,2,2,2,2,2,5,2,3,98,98,99,98,98,91,0.0,2.0,0.0
2,99,99,1,1,2,8,5,4.0,99,99,1,2,2,99,3,3,2,4,4,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,5,1.0,99,99,99,99,99,99,99,99,4,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,1,3,1,1.0,99,99,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,9,5,3.0,99,99,1,2,2,99,1,1,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,2,2,11,4,3.0,0,0,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,7,5,4.0,99,99,99,99,99,99,99,99,4,4,4,1,2,2,1,2,2,1,1,1,99,99,99,99,99,93,0.0,2.0,0.0
2,99,99,1,1,1,11,3,2.0,99,99,99,99,99,99,99,99,7,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,1,1,5,3.0,99,99,2,2,2,99,3,3,1,4,4,2,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,5,1.0,99,99,2,2,2,99,2,2,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,7,1,2.0,0,0,99,99,99,99,99,99,4,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,8,5,3.0,99,99,1,1,2,2,1,3,2,4,4,1,2,2,1,2,2,3,1,2,99,99,99,99,99,91,0.0,2.0,0.0
